name,address,flavors
SAFEWAY,"2227 S SHORE CENTER, ALAMEDA, CA 94501","Liz Lemon, Coffee, Coffee BuzzBuzzBuzz!, Vanilla Honey Caramel, Pineapple Passionfruit, Chocolate Peppermint Crunch, Banana Split, Boston Cream Pie, Cheesecake Brownie, Cherry Garcia®, Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chocolate Nougat Crunch, Chocolate Therapy®, Chubby Hubby®, Chunky Monkey®, Cinnamon Buns, Coffee HEATH® Bar Crunch, Everything But The...®, Half Baked®, Imagine Whirled Peace™, Karamel Sutra®, Late Night Snack, Milk & Cookies, Mint Chocolate Cookie, New York Super Fudge Chunk®, Peanut Butter Cup™, Phish Food®, Pistachio Pistachio®, Red Velvet Cake, S'mores, AmeriCone Dream™, Strawberry Cheesecake, Triple Caramel Chunk, Vanilla, Vanilla Caramel Fudge, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Banana Peanut Butter, Blueberry Vanilla Graham, Raspberry Fudge Chunk, Strawberry Shortcake"
LUCKY,"815 MARINA VILLAGE PKWY, ALAMEDA, CA 94501","Liz Lemon, Coffee, Coffee BuzzBuzzBuzz!, Vanilla Honey Caramel, Pineapple Passionfruit, Chocolate Peppermint Crunch, Banana Split, Cheesecake Brownie, Cherry Garcia®, Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chocolate Nougat Crunch, Chocolate Therapy®, Chunky Monkey®, Coffee HEATH® Bar Crunch, Everything But The...®, Half Baked®, Karamel Sutra®, Late Night Snack, Milk & Cookies, Mint Chocolate Cookie, New York Super Fudge Chunk®, Peanut Butter Cup™, Phish Food®, Pistachio Pistachio®, S'mores, AmeriCone Dream™, Strawberry Cheesecake, Triple Caramel Chunk, Vanilla, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Banana Peanut Butter, Blueberry Vanilla Graham, Raspberry Fudge Chunk, Strawberry Shortcake"
SAFEWAY,"867 ISLAND DR, ALAMEDA, CA 94502","Liz Lemon, Coffee, Coffee BuzzBuzzBuzz!, Vanilla Honey Caramel, Pineapple Passionfruit, Chocolate Peppermint Crunch, Banana Split, Boston Cream Pie, Cheesecake Brownie, Cherry Garcia®, Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chocolate Nougat Crunch, Chocolate Therapy®, Chubby Hubby®, Chunky Monkey®, Cinnamon Buns, Coffee HEATH® Bar Crunch, Everything But The...®, Half Baked®, Imagine Whirled Peace™, Karamel Sutra®, Late Night Snack, Milk & Cookies, Mint Chocolate Cookie, New York Super Fudge Chunk®, Peanut Butter Cup™, Phish Food®, Pistachio Pistachio®, Red Velvet Cake, S'mores, AmeriCone Dream™, Strawberry Cheesecake, Triple Caramel Chunk, Vanilla, Vanilla Caramel Fudge, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Banana Peanut Butter, Blueberry Vanilla Graham, Raspberry Fudge Chunk, Strawberry Shortcake"
LUCKY,"247 EAST 18TH ST, OAKLAND, CA 94606","Liz Lemon, Coffee, Coffee BuzzBuzzBuzz!, Vanilla Honey Caramel, Pineapple Passionfruit, Chocolate Peppermint Crunch, Banana Split, Cheesecake Brownie, Chocolate Nougat Crunch, Chocolate Therapy®, Everything But The...®, Karamel Sutra®, Late Night Snack, Milk & Cookies, Mint Chocolate Cookie, Pistachio Pistachio®, AmeriCone Dream™, Strawberry Cheesecake, Triple Caramel Chunk, Vanilla, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Cherry Garcia®, Chocolate Fudge Brownie™, Half Baked®, Banana Peanut Butter, Blueberry Vanilla Graham, Raspberry Fudge Chunk, Strawberry Shortcake, New York Super Fudge Chunk®, Chocolate Chip Cookie Dough, Chunky Monkey®, Coffee HEATH® Bar Crunch, Peanut Butter Cup™, Phish Food®"
PAK N SAVE,"610 HEGENBERGER RD, OAKLAND, CA 94621","Liz Lemon, Coffee, Coffee BuzzBuzzBuzz!, Vanilla Honey Caramel, Chocolate Peppermint Crunch, Banana Split, Boston Cream Pie, Cheesecake Brownie, Chocolate Therapy®, Chubby Hubby®, Cinnamon Buns, Everything But The...®, Imagine Whirled Peace™, Karamel Sutra®, Late Night Snack, Milk & Cookies, Red Velvet Cake, S'mores, Strawberry Cheesecake, Triple Caramel Chunk, Vanilla, Vanilla Caramel Fudge, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Cherry Garcia®, Chocolate Fudge Brownie™, Half Baked®, Banana Peanut Butter, Blueberry Vanilla Graham, Raspberry Fudge Chunk, Strawberry Shortcake, Chocolate Chip Cookie Dough, Chunky Monkey®, Coffee HEATH® Bar Crunch, New York Super Fudge Chunk®, Peanut Butter Cup™, Phish Food®, Pistachio Pistachio®, AmeriCone Dream™"
SAFEWAY,"3747 GRAND AVE, OAKLAND, CA 94610","Liz Lemon, Coffee, Coffee BuzzBuzzBuzz!, Vanilla Honey Caramel, Pineapple Passionfruit, Chocolate Peppermint Crunch, Banana Split, Boston Cream Pie, Cheesecake Brownie, Chocolate Nougat Crunch, Chocolate Therapy®, Chubby Hubby®, Cinnamon Buns, Everything But The...®, Imagine Whirled Peace™, Karamel Sutra®, Late Night Snack, Mint Chocolate Cookie, S'mores, Strawberry Cheesecake, Triple Caramel Chunk, Vanilla, Vanilla Caramel Fudge, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Chocolate Fudge Brownie™, Half Baked®, Banana Peanut Butter, Blueberry Vanilla Graham, Raspberry Fudge Chunk, Strawberry Shortcake, Phish Food®, Milk & Cookies, Pistachio Pistachio®, Red Velvet Cake, Cherry Garcia®, Chocolate Chip Cookie Dough, Chunky Monkey®, Coffee HEATH® Bar Crunch, New York Super Fudge Chunk®, Peanut Butter Cup™, AmeriCone Dream™"
PAK N SAVE,"3889 SAN PABLO AVE, EMERYVILLE, CA 94608","Liz Lemon, Coffee, Coffee BuzzBuzzBuzz!, Vanilla Honey Caramel, Pineapple Passionfruit, Chocolate Peppermint Crunch, Banana Split, Boston Cream Pie, Cheesecake Brownie, Chocolate Nougat Crunch, Chocolate Therapy®, Chubby Hubby®, Cinnamon Buns, Everything But The...®, Imagine Whirled Peace™, Karamel Sutra®, Late Night Snack, Mint Chocolate Cookie, S'mores, Strawberry Cheesecake, Vanilla, Vanilla Caramel Fudge, What a Cluster, Peach Cobbler™, Chocolate Fudge Brownie™, Half Baked®, Banana Peanut Butter, Blueberry Vanilla Graham, Strawberry Shortcake, Phish Food®, Milk & Cookies, Triple Caramel Chunk, Vanilla HEATH® Bar Crunch, Raspberry Fudge Chunk, Pistachio Pistachio®, Red Velvet Cake, Cherry Garcia®, Chocolate Chip Cookie Dough, Chunky Monkey®, Coffee HEATH® Bar Crunch, New York Super Fudge Chunk®, Peanut Butter Cup™, AmeriCone Dream™"
TARGET,"1555 40TH ST, EMERYVILLE, CA 94608","Liz Lemon, Pineapple Passionfruit, Chocolate Peppermint Crunch, Strawberry Shortcake, Vanilla Honey Caramel, Chocolate Therapy®, Half Baked®, Blueberry Vanilla Graham, Raspberry Fudge Chunk, Red Velvet Cake, Cherry Garcia®, Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chunky Monkey®, Coffee HEATH® Bar Crunch, Phish Food®, AmeriCone Dream™"
SAFEWAY,"5130 BROADWAY, OAKLAND, CA 94611","Liz Lemon, Coffee, Coffee BuzzBuzzBuzz!, Pineapple Passionfruit, Chocolate Peppermint Crunch, Banana Split, Boston Cream Pie, Cheesecake Brownie, Chocolate Nougat Crunch, Chubby Hubby®, Cinnamon Buns, Everything But The...®, Imagine Whirled Peace™, Late Night Snack, Mint Chocolate Cookie, S'mores, Strawberry Cheesecake, Vanilla Caramel Fudge, Chocolate Fudge Brownie™, Banana Peanut Butter, Phish Food®, Vanilla Honey Caramel, Chocolate Therapy®, Karamel Sutra®, Milk & Cookies, Triple Caramel Chunk, Vanilla, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Half Baked®, Blueberry Vanilla Graham, Strawberry Shortcake, Raspberry Fudge Chunk, Pistachio Pistachio®, Red Velvet Cake, Cherry Garcia®, Chocolate Chip Cookie Dough, Chunky Monkey®, Coffee HEATH® Bar Crunch, New York Super Fudge Chunk®, Peanut Butter Cup™, AmeriCone Dream™"
LUCKY,"1963 MOUNTAIN BLVD, OAKLAND, CA 94611","Liz Lemon, Coffee, Coffee BuzzBuzzBuzz!, Pineapple Passionfruit, Chocolate Nougat Crunch, Late Night Snack, Chocolate Fudge Brownie™, Strawberry Cheesecake, Chocolate Peppermint Crunch, Banana Split, Cheesecake Brownie, Everything But The...®, Karamel Sutra®, Mint Chocolate Cookie, S'mores, Vanilla, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Banana Peanut Butter, Vanilla Honey Caramel, Chocolate Therapy®, Half Baked®, Blueberry Vanilla Graham, Strawberry Shortcake, Milk & Cookies, Pistachio Pistachio®, Triple Caramel Chunk, Raspberry Fudge Chunk, Cherry Garcia®, Chocolate Chip Cookie Dough, Chunky Monkey®, Coffee HEATH® Bar Crunch, New York Super Fudge Chunk®, Peanut Butter Cup™, Phish Food®, AmeriCone Dream™"
NOB HILL FOODS,"2531 BLANDING AVE, ALAMEDA, CA 94501","Coffee, Coffee BuzzBuzzBuzz!, Vanilla Honey Caramel, Banana Split, Cheesecake Brownie, Cherry Garcia®, Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chocolate Nougat Crunch, Chocolate Therapy®, Chunky Monkey®, Cinnamon Buns, Coffee HEATH® Bar Crunch, Everything But The...®, Half Baked®, Karamel Sutra®, Late Night Snack, Mint Chocolate Cookie, New York Super Fudge Chunk®, Peanut Butter Cup™, Phish Food®, Pistachio Pistachio®, Red Velvet Cake, S'mores, AmeriCone Dream™, Strawberry Cheesecake, Vanilla, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Blueberry Vanilla Graham, Raspberry Fudge Chunk"
SAFEWAY,"3550 FRUITVALE AVE, OAKLAND, CA 94602","Vanilla Honey Caramel, Chocolate Peppermint Crunch, Banana Split, Boston Cream Pie, Cheesecake Brownie, Chocolate Therapy®, Cinnamon Buns, Everything But The...®, Imagine Whirled Peace™, Karamel Sutra®, Mint Chocolate Cookie, S'mores, Vanilla, Vanilla Caramel Fudge, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Cherry Garcia®, Half Baked®, Banana Peanut Butter, Blueberry Vanilla Graham, Raspberry Fudge Chunk, Strawberry Shortcake, Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chunky Monkey®, Coffee HEATH® Bar Crunch, New York Super Fudge Chunk®, Peanut Butter Cup™, Phish Food®, Pistachio Pistachio®, AmeriCone Dream™"
WALMART,"8400 EDGEWATER DR, OAKLAND, CA 94621","Vanilla Honey Caramel, Chocolate Therapy®, Half Baked®, Raspberry Fudge Chunk, Chocolate Fudge Brownie™, New York Super Fudge Chunk®, Peanut Butter Cup™, Phish Food®"
SAFEWAY,"555 BANCROFT AVE, SAN LEANDRO, CA 94577","Pineapple Passionfruit, Boston Cream Pie, Chocolate Nougat Crunch, Chubby Hubby®, Imagine Whirled Peace™, Phish Food®, Liz Lemon, Coffee, Coffee BuzzBuzzBuzz!, Vanilla Honey Caramel, Chocolate Peppermint Crunch, Banana Split, Cheesecake Brownie, Chocolate Therapy®, Cinnamon Buns, Everything But The...®, Karamel Sutra®, Late Night Snack, Mint Chocolate Cookie, S'mores, Strawberry Cheesecake, Vanilla, Vanilla Caramel Fudge, Peach Cobbler™, Chocolate Fudge Brownie™, Half Baked®, Banana Peanut Butter, Blueberry Vanilla Graham, Strawberry Shortcake, Milk & Cookies, Pistachio Pistachio®, Red Velvet Cake, Triple Caramel Chunk, Vanilla HEATH® Bar Crunch, Raspberry Fudge Chunk, Cherry Garcia®, Chocolate Chip Cookie Dough, Chunky Monkey®, Coffee HEATH® Bar Crunch, New York Super Fudge Chunk®, Peanut Butter Cup™, AmeriCone Dream™"
SAFEWAY,"2505 SAN RAMON VALLEY BLVD, SAN RAMON, CA 94583","Coffee Caramel Buzz, Crème Brûlée, Oatmeal Cookie Chunk, What a Cluster, Boston Cream Pie, Chocolate Nougat Crunch, Chubby Hubby®, Cinnamon Buns, Imagine Whirled Peace™, Vanilla Caramel Fudge, Phish Food®, Coffee, Coffee BuzzBuzzBuzz!, Late Night Snack, Strawberry Cheesecake, Chocolate Fudge Brownie™, Pineapple Passionfruit, Banana Split, Cheesecake Brownie, Everything But The...®, Karamel Sutra®, Milk & Cookies, Mint Chocolate Cookie, Pistachio Pistachio®, S'mores, Triple Caramel Chunk, Vanilla, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Banana Peanut Butter, Strawberry Shortcake, Liz Lemon, Vanilla Honey Caramel, Chocolate Peppermint Crunch, Chocolate Therapy®, Red Velvet Cake, Half Baked®, Blueberry Vanilla Graham, Raspberry Fudge Chunk, Cherry Garcia®, Chocolate Chip Cookie Dough, Chunky Monkey®, Coffee HEATH® Bar Crunch, New York Super Fudge Chunk®, Peanut Butter Cup™, AmeriCone Dream™"
SAFEWAY,"2096 MOUNTAIN BLVD, OAKLAND, CA 94611","Boston Cream Pie, Chubby Hubby®, Cinnamon Buns, Imagine Whirled Peace™, S'mores, Vanilla Caramel Fudge, Chocolate Peppermint Crunch, Banana Split, Cheesecake Brownie, Everything But The...®, Karamel Sutra®, Mint Chocolate Cookie, Vanilla, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Banana Peanut Butter, Vanilla Honey Caramel, Chocolate Therapy®, Half Baked®, Blueberry Vanilla Graham, Raspberry Fudge Chunk, Strawberry Shortcake, Cherry Garcia®, Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chunky Monkey®, Coffee HEATH® Bar Crunch, New York Super Fudge Chunk®, Peanut Butter Cup™, Phish Food®, Pistachio Pistachio®, AmeriCone Dream™"
SAFEWAY,"6310 COLLEGE AVE, OAKLAND, CA 94618","Boston Cream Pie, Cinnamon Buns, Imagine Whirled Peace™, Vanilla Caramel Fudge, Vanilla Honey Caramel, Banana Split, Cheesecake Brownie, Chocolate Therapy®, Everything But The...®, Karamel Sutra®, Mint Chocolate Cookie, Pistachio Pistachio®, S'mores, Vanilla, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Chocolate Fudge Brownie™, Half Baked®, Banana Peanut Butter, Blueberry Vanilla Graham, Raspberry Fudge Chunk, Strawberry Shortcake, Cherry Garcia®, Chocolate Chip Cookie Dough, Chunky Monkey®, Coffee HEATH® Bar Crunch, New York Super Fudge Chunk®, Phish Food®, AmeriCone Dream™"
